Variant,Trials,Success,Final Reward,Best Reward,Avg Reward,Time (s)
Full CDM,3,3,-1193.3 ± 195.2,-734.4 ± 144.3,-1056.8 ± 78.7,10 ± 1
No Metric Reg,3,3,-1194.7 ± 159.3,-843.0 ± 94.3,-1239.9 ± 155.0,9 ± 0
No Contraction,3,3,-1197.7 ± 479.3,-704.1 ± 55.0,-1277.1 ± 97.5,9 ± 0
Fixed Metric,3,3,-1283.2 ± 419.2,-829.1 ± 128.7,-1204.4 ± 38.9,1 ± 0
Single Dynamics,3,3,-1377.6 ± 221.3,-821.4 ± 112.9,-1157.1 ± 43.9,1 ± 0
